City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Bambous Virieux,MU,2021-07-31 13:32:40,-20.3428,57.7575,73.65,64,40,10.36
146,Puksoozero,RU,2021-07-31 13:32:40,62.5903,40.6066,57.51,92,100,7.45
147,Brae,GB,2021-07-31 13:32:41,60.3964,-1.353,53.51,73,88,17.58
148,Souillac,MU,2021-07-31 13:32:41,-20.5167,57.5167,73.78,64,40,10.36
149,Karratha,AU,2021-07-31 13:32:41,-20.7377,116.8463,68.92,41,3,12.57
150,Touros,BR,2021-07-31 13:32:42,-5.1989,-35.4608,81.5,58,97,18.32
151,Namibe,AO,2021-07-31 13:32:42,-15.1961,12.1522,77.63,78,75,13.8
152,Paamiut,GL,2021-07-31 13:32:42,61.994,-49.6678,47.59,80,99,12.03
153,Hoyanger,NO,2021-07-31 13:32:43,61.2204,6.0749,65.61,59,66,5.12
154,Sherbakul,RU,2021-07-31 13:32:43,54.6316,72.3963,80.28,60,100,4.59
155,Bilibino,RU,2021-07-31 13:32:43,68.0546,166.4372,35.13,90,99,1.28
156,Burnie,AU,2021-07-31 13:32:44,-41.0667,145.9167,49.5,87,100,11.01
157,Vardo,NO,2021-07-31 13:32:44,70.3705,31.1107,50.2,91,100,16.96
158,Aklavik,CA,2021-07-31 13:32:44,68.2191,-135.0107,59.83,88,75,4.61
159,Te Anau,NZ,2021-07-31 13:32:45,-45.4167,167.7167,46.4,98,100,0.51
160,Bredasdorp,ZA,2021-07-31 13:31:46,-34.5322,20.0403,61.92,72,89,8.05
161,Ayan,RU,2021-07-31 13:32:45,56.45,138.1667,53.13,77,100,7.29
162,Cherskiy,RU,2021-07-31 13:32:46,68.75,161.3,42.37,89,100,17.27
163,Chicama,PE,2021-07-31 13:32:46,-7.8447,-79.1469,61.34,74,16,5.01
164,Pangnirtung,CA,2021-07-31 13:32:46,66.1451,-65.7125,55.2,61,100,2.24
165,Capelinha,BR,2021-07-31 13:32:47,-17.6914,-42.5158,63.3,58,92,7.0
166,Araouane,ML,2021-07-31 13:32:47,18.9048,-3.5265,104.07,23,79,7.36
167,Antalaha,MG,2021-07-31 13:32:47,-14.9003,50.2788,72.79,69,0,13.42
168,Namie,JP,2021-07-31 13:32:48,37.4833,141.0,78.71,97,100,7.96
169,Kankon,IN,2021-07-31 13:32:48,15.0167,74.0167,82.2,85,100,12.1
170,Namatanai,PG,2021-07-31 13:32:48,-3.6667,152.4333,79.0,82,5,6.2
171,Fort Nelson,CA,2021-07-31 13:32:49,58.8053,-122.7002,53.19,94,1,2.3
172,Rimbey,CA,2021-07-31 13:30:13,52.6334,-114.2353,54.52,70,0,5.35
173,Nanortalik,GL,2021-07-31 13:32:49,60.1432,-45.2371,47.32,80,79,8.46
174,Sao Felix Do Xingu,BR,2021-07-31 13:32:49,-6.6447,-51.995,90.59,25,55,4.23
175,Reconquista,AR,2021-07-31 13:32:50,-29.15,-59.65,58.03,43,1,6.15
176,Leshukonskoye,RU,2021-07-31 13:32:50,64.8989,45.7622,63.57,82,100,5.53
177,Changzhou,CN,2021-07-31 13:32:51,31.7833,119.9667,83.98,90,17,4.85
178,Rio Gallegos,AR,2021-07-31 13:32:51,-51.6226,-69.2181,33.85,60,0,10.36
179,Dubreka,GN,2021-07-31 13:32:51,9.7911,-13.5233,77.07,97,100,6.31
180,Feira Nova,BR,2021-07-31 13:32:52,-7.9508,-35.3892,77.04,59,50,17.02
181,Arawa,PG,2021-07-31 13:32:52,-6.2132,155.5367,76.23,90,96,3.31
182,Kavieng,PG,2021-07-31 13:32:53,-2.5744,150.7967,81.5,77,7,7.56
183,Pevek,RU,2021-07-31 13:32:53,69.7008,170.3133,33.84,83,100,3.29
184,Hambantota,LK,2021-07-31 13:32:54,6.1241,81.1185,86.34,70,20,12.66
185,Omboue,GA,2021-07-31 13:32:54,-1.5746,9.2618,79.45,66,31,11.23
186,Bengkulu,ID,2021-07-31 13:29:40,-3.8004,102.2655,78.78,86,85,7.2
187,Qostanay,KZ,2021-07-31 13:32:54,53.1667,63.5833,86.29,35,20,8.95
188,Dikson,RU,2021-07-31 13:32:55,73.5069,80.5464,47.21,95,100,14.47
